cohort,scanner,n,r2_clinic4,r2_aec,auc_clinic4,auc_aec,r2_delta,auc_delta
internal,Ingenuity Core 128,91,0.4216,0.4416,0.8373,0.8563,0.02,0.019
internal,Revolution CT,248,0.4576,0.5303,0.8503,0.8768,0.0727,0.0265
internal,SOMATOM Definition AS+,97,0.4595,0.5647,0.8119,0.839,0.1052,0.0272
internal,Sensation 64,258,0.3114,0.4339,0.836,0.8721,0.1226,0.0362
external,LightSpeed VCT,37,0.2752,0.416,0.7994,0.8629,0.1408,0.0635
external,Revolution EVO,88,-0.0105,0.1089,0.77,0.7993,0.1194,0.0293
external,SOMATOM Definition AS+,81,0.3792,0.3667,0.799,0.8475,-0.0125,0.0485
external,SOMATOM Definition Flash,113,0.3963,0.2974,0.8162,0.8447,-0.099,0.0285
external,SOMATOM Force,65,0.4711,0.4815,0.8454,0.8832,0.0104,0.0378
external,iCT 256,83,0.2785,0.354,0.7553,0.8068,0.0755,0.0515
